Day,Hour,Electricity:Facility,Carbon_Intensity,Core_bottom:Zone Mean Air Temperature,Core_mid:Zone Mean Air Temperature,Core_top:Zone Mean Air Temperature,Perimeter_mid_ZN_1:Zone Mean Air Temperature,Perimeter_mid_ZN_2:Zone Mean Air Temperature,Perimeter_mid_ZN_3:Zone Mean Air Temperature,Perimeter_mid_ZN_4:Zone Mean Air Temperature
182,0,0.0,400.0,27.12,26.53,26.68,26.63,26.66,26.74,26.88
182,1,5.157899093400023,400.0,27.16,26.58,26.7,26.38,26.41,26.49,26.59
182,2,5.157899093400023,400.0,27.19,26.61,26.68,26.23,26.24,26.32,26.39
182,3,5.157899093400023,400.0,27.22,26.64,26.64,26.15,26.16,26.24,26.3
182,4,5.157899093400023,400.0,27.25,26.66,26.6,26.08,26.09,26.17,26.22
182,5,5.157899093400023,400.0,27.28,26.68,26.56,26.06,26.06,26.13,26.17
182,6,7.0538233968363375,400.0,26.37,25.03,25.73,23.69,23.59,23.81,23.38
182,7,8.554255233597548,400.0,25.0,24.38,26.34,23.41,23.53,24.02,22.74
182,8,11.710139332738827,400.0,24.53,24.28,24.52,23.71,24.71,24.1,22.88
182,9,8.696152758231836,400.0,25.1,24.04,24.85,23.91,25.38,24.5,23.06
182,10,11.924675133716239,300.0,24.44,24.18,24.49,23.98,26.12,24.06,23.07
182,11,8.859479942543132,300.0,25.04,23.99,25.12,24.33,25.5,24.5,23.37
182,12,12.259639956117676,300.0,24.55,24.16,24.58,23.94,25.36,24.04,23.46
182,13,6.125230331456646,300.0,25.67,23.98,25.36,24.41,24.48,24.5,23.54
182,14,12.770606576172428,300.0,24.9,24.09,24.96,24.0,24.5,24.13,24.78
182,15,5.781575154967814,550.0,25.35,23.94,25.62,24.22,24.03,24.5,24.93
182,16,11.516915100997336,550.0,24.5,24.06,24.79,23.99,23.69,24.09,25.88
182,17,5.7926766494830995,550.0,25.19,23.77,25.4,23.83,23.3,24.41,25.22
182,18,11.258094992261006,550.0,24.29,23.89,24.38,23.77,23.18,24.12,24.54
182,19,2.699097051761747,550.0,26.43,25.34,26.21,25.56,25.57,25.87,26.38
182,20,5.157899093400023,550.0,26.9,26.04,26.71,26.07,26.14,26.24,26.59
182,21,5.157899093400023,400.0,26.98,26.17,26.7,26.22,26.3,26.34,26.63
182,22,5.157899093400023,400.0,27.04,26.25,26.67,26.28,26.35,26.37,26.62
182,23,5.157899093400023,400.0,27.08,26.31,26.64,26.35,26.42,26.43,26.66
183,0,5.70398587201139,400.0,27.2,26.46,26.74,26.55,26.6,26.61,26.83
183,1,5.70398587201139,400.0,27.25,26.53,26.78,26.58,26.62,26.63,26.82
183,2,5.747371977975722,400.0,27.3,26.6,26.82,26.69,26.72,26.73,26.91
183,3,5.7473715770729195,400.0,27.35,26.65,26.86,26.54,26.57,26.58,26.73
183,4,5.70398587201139,400.0,27.38,26.7,26.88,26.52,26.54,26.56,26.69
183,5,6.162241696354253,400.0,26.42,26.76,25.82,26.61,26.62,26.64,26.76
183,6,13.671199325262007,400.0,24.58,24.27,23.86,23.48,22.89,23.99,22.78
183,7,16.186116668180986,400.0,24.85,24.27,23.81,23.48,22.87,24.02,22.73
183,8,25.943506968227375,400.0,25.67,25.27,24.78,24.53,24.32,24.6,23.65
183,9,26.603535020847193,400.0,25.59,25.47,25.08,24.6,24.6,24.6,24.1
183,10,26.048945688940876,300.0,25.66,25.59,25.33,24.6,25.17,24.6,24.1
183,11,29.15155817277481,300.0,25.93,25.67,25.54,24.6,26.13,24.6,24.1
183,12,28.81813053680915,300.0,25.58,25.51,25.57,24.6,25.76,24.6,24.1
183,13,29.130971882530243,300.0,25.8,25.8,25.82,24.6,25.64,24.6,24.1
183,14,28.814198178129843,300.0,25.86,25.88,25.82,24.6,25.41,24.6,24.1
183,15,29.032468203814766,550.0,26.0,25.94,25.82,24.6,25.61,24.6,24.1
183,16,29.15161229539327,550.0,26.0,26.0,25.82,24.6,25.52,24.6,24.1
183,17,21.842496766889585,550.0,25.58,25.24,25.34,24.6,24.79,24.6,24.1
183,18,16.31663128804418,550.0,25.02,24.85,24.89,24.6,24.21,24.6,24.1
183,19,15.222525597049193,550.0,24.93,24.72,24.67,24.34,23.75,24.6,23.83
183,20,16.624351335493312,550.0,24.82,24.55,24.37,23.97,23.32,24.48,23.24
183,21,16.36024564482417,400.0,24.74,24.44,24.13,23.78,23.08,24.31,22.97
183,22,9.505313561309466,400.0,27.27,24.5,26.37,23.78,23.09,24.2,22.97
183,23,8.889041852377563,400.0,25.58,24.9,25.93,24.66,24.21,24.97,24.13
184,0,8.538071768241787,400.0,26.92,24.03,26.51,23.23,22.43,23.76,22.3
184,1,5.74737134754822,400.0,27.49,24.64,26.72,24.32,23.83,24.65,23.75
184,2,8.600623564303824,400.0,27.58,23.88,26.78,23.0,22.18,23.54,22.05
184,3,5.70398587201139,400.0,27.63,24.5,26.81,24.12,23.6,24.47,23.53
184,4,8.462285988650388,400.0,27.67,23.74,26.82,23.05,22.26,23.44,22.14
184,5,8.637686694615125,400.0,26.92,23.82,25.88,23.01,22.24,23.46,22.1
184,6,12.7831134213958,400.0,24.86,23.74,23.81,22.82,22.13,23.38,21.88
184,7,14.207364775165628,400.0,25.08,23.83,23.7,22.7,22.0,23.27,21.77
184,8,25.47530945749104,400.0,25.0,24.5,24.64,23.95,23.73,24.5,22.93
